Data,Valor
2020-05-06,85.55
2020-05-06,85.5
2020-05-06,85.49
2020-05-06,85.48
2020-05-06,85.47
2020-05-06,85.46
2020-05-07,85.42
2020-05-07,85.36
2020-05-07,77.99
2020-05-12,85.99
2020-05-15,76.99
2020-05-18,85.99
2020-05-18,83.99
2020-05-19,82.99
2020-05-26,79.99
2020-06-03,78.99
2020-06-09,77.99
2020-06-11,78.99
2020-07-01,80.99
2020-07-07,79.99
2020-07-09,75.99
2020-07-21,73.99
2020-08-04,68.99
2020-08-18,67.99
2020-08-20,78.1
2020-08-20,67.99
2020-08-25,68.99
2020-08-25,93.7
2020-08-25,93.3
2020-08-25,92.39
2020-08-25,91.48
2020-08-26,89.77
2020-08-26,74.99
2020-08-27,68.99
2020-08-27,67.99
2020-09-11,63.99
2020-09-15,64.99
2020-09-22,68.99
2020-09-27,78.39
2020-09-29,78.47
2020-09-29,69.99
2020-09-29,68.99
2020-11-12,70.99
2020-11-30,89.99
2020-11-30,70.99
2020-11-30,89.99
2020-11-30,92.39
2020-12-01,70.99
2020-12-01,98.59
2020-12-02,98.5
2020-12-02,99.99
2020-12-03,70.99
2020-12-03,77.06
2020-12-03,108.84
2020-12-04,95.99
2020-12-04,104.4
2020-12-05,104.41
2020-12-05,95.99
2020-12-06,115.95
2020-12-07,113.83
2020-12-07,105.25
2020-12-08,77.58
2020-12-08,93.45
2020-12-08,101.99
2020-12-08,110.7
2020-12-09,90.02
2020-12-09,110.7
2020-12-09,77.58
2020-12-09,110.7
2020-12-10,105.71
2020-12-10,100.01
2020-12-11,97.9
2020-12-11,100.01
2020-12-12,112.49
2020-12-12,112.57
2020-12-12,97.42
2020-12-12,90.02
2020-12-15,100.01
2020-12-16,98.96
2020-12-17,99.66
2020-12-17,99.21
2020-12-17,97.95
2020-12-18,97.9
2020-12-18,99.39
2020-12-18,98.04
2020-12-18,97.9
2020-12-19,99.48
2020-12-19,98.67
2020-12-19,97.9
2020-12-20,99.75
2020-12-20,98.58
2020-12-20,97.9
2020-12-21,101.54
2020-12-21,100.55
2020-12-21,99.2
2020-12-21,98.21
2020-12-21,98.12
2020-12-21,97.9
2020-12-22,102.26
2020-12-22,99.74
2020-12-22,99.11
2020-12-22,99.02
2020-12-22,98.66
2020-12-22,97.93
2020-12-23,103.65
2020-12-23,102.66
2020-12-23,101.76
2020-12-23,100.32
2020-12-23,100.05
2020-12-23,99.15
2020-12-23,98.52
2020-12-23,98.16
2020-12-23,110.99
2020-12-28,107.99
2020-12-28,102.3
2020-12-28,101.22
2020-12-28,99.87
2020-12-28,98.97
2020-12-29,97.98
2020-12-29,96.09
2020-12-29,103.83
2020-12-29,102.03
2020-12-29,100.5
2020-12-29,100.23
2020-12-29,99.87
2020-12-29,98.61
2020-12-29,97.98
2020-12-30,97.93
2020-12-30,103.92
2020-12-30,103.02
2020-12-30,101.94
2020-12-30,101.13
2020-12-30,100.59
2020-12-30,99.96
2020-12-30,99.96
2020-12-31,98.07
2020-12-31,97.93
2020-12-31,79.99
2020-12-31,97.93
2020-12-31,104.38
2020-12-31,103.3
2020-12-31,110.99
2021-01-01,119.73
2021-01-06,120.69
2021-01-07,102.4
2021-01-07,99.06
2021-01-07,112.69
2021-01-07,99.06
2021-01-07,80.54
2021-01-08,99.06
2021-01-08,109.9
2021-01-10,81.01
2021-01-11,83.99
2021-01-12,109.9
2021-01-13,83.99
2021-01-14,109.9
2021-01-14,83.99
2021-01-26,86.99
2021-02-01,109.9
2021-02-01,108.55
2021-02-01,107.83
2021-02-01,107.38
2021-02-01,106.3
2021-02-01,104.59
2021-02-01,104.23
2021-02-01,103.78
2021-02-02,103.15
2021-02-02,102.44
2021-02-03,109.27
2021-02-03,108.46
2021-02-03,86.99
2021-02-04,102.44
2021-02-05,109.18
2021-02-05,107.56
2021-02-05,105.94
2021-02-05,104.41
2021-02-05,103.6
2021-02-05,103.06
2021-02-05,102.79
2021-02-06,102.44
2021-02-06,109.45
2021-02-06,107.74
2021-02-06,106.21
2021-02-06,105.76
2021-02-06,105.49
2021-02-06,103.96
2021-02-06,109.9
2021-02-07,109.72
2021-02-07,108.73
2021-02-07,107.2
2021-02-07,106.75
2021-02-07,109.81
2021-02-07,109.72
2021-02-07,107.02
2021-02-07,105.49
2021-02-07,105.13
2021-02-07,103.33
2021-02-07,103.15
2021-02-08,102.52
2021-02-08,102.44
2021-02-08,109
2021-02-08,107.56
2021-02-08,105.76
2021-02-08,105.58
2021-02-08,103.78
2021-02-08,103.15
2021-02-08,102.97
2021-02-09,102.44
2021-02-09,109.81
2021-02-09,108.1
2021-02-09,106.3
2021-02-09,104.77
2021-02-09,104.7
2021-02-10,109.99
2021-02-10,108.64
2021-02-10,108.28
2021-02-10,108.19
2021-02-10,108.1
2021-02-10,107.11
2021-02-10,106.57
2021-02-10,105.04
2021-02-10,104.7
2021-02-11,109.81
2021-02-11,108.37
2021-02-11,108.28
2021-02-11,106.84
2021-02-11,105.76
2021-02-11,105.49
2021-02-11,104.7
2021-02-12,109.36
2021-02-12,106.39
2021-02-12,104.7
2021-02-15,107.74
2021-02-15,106.48
2021-02-15,104.77
2021-02-15,104.7
2021-02-16,109.27
2021-02-16,108.46
2021-02-16,106.66
2021-02-16,105.31
2021-02-16,104.7
2021-02-17,108.09
2021-02-18,109.63
2021-02-18,108.82
2021-02-18,108.09
2021-02-19,109.9
2021-02-19,109.81
2021-02-21,91.99
2021-02-22,108.09
2021-02-23,109.9
2021-02-24,108.99
2021-03-02,109.9
2021-03-10,109.45
2021-03-10,109.07
2021-03-11,109.9
2021-03-11,109.07
2021-03-12,109.9
2021-03-12,109.07
2021-03-13,91.99
2021-03-13,109.07
2021-03-14,91.99
2021-03-16,108.99
2021-03-17,91.99
2021-03-18,108.09
2021-03-19,91.99
2021-03-22,102.99
2021-03-26,102.89
2021-03-29,101.99
2021-04-01,97.84
2021-04-02,97.69
2021-04-04,97.62
2021-04-04,94.99
2021-04-20,101.99
2021-05-10,92.99
2021-05-12,89.99
2021-05-20,101.99
2021-05-25,89.99
2021-05-25,105.83
2021-05-25,89.99
2021-05-25,105.83
2021-05-26,109.81
2021-05-26,108.64
2021-05-26,107.29
2021-05-26,106.66
2021-05-26,105.85
2021-05-26,105.83
2021-05-27,109.18
2021-05-27,108.1
2021-05-27,106.57
2021-05-27,105.79
2021-05-28,109.81
2021-05-28,109.9
2021-05-29,109.27
2021-05-29,107.83
2021-05-29,109.81
2021-05-31,109.9
2021-05-31,89.99
2021-06-04,107
2021-06-05,109.9
2021-06-07,106.84
2021-06-07,98.04
2021-06-07,109.9
2021-06-08,107.91
2021-06-08,107.55
2021-06-08,106.2
2021-06-08,105.79
2021-06-09,108.18
2021-06-09,107.82
2021-06-09,106.38
2021-06-09,105.84
2021-06-09,105.79
2021-06-10,109.63
2021-06-10,108
2021-06-10,107.37
2021-06-10,106.56
2021-06-10,106.29
2021-06-11,105.79
2021-06-11,108
2021-06-11,106.56
2021-06-11,105.79
2021-06-12,109.63
2021-06-12,108.64
2021-06-12,107.47
2021-06-12,107.38
2021-06-12,105.85
2021-06-12,105.79
2021-06-13,108.54
2021-06-13,108.36
2021-06-13,106.92
2021-06-13,106.11
2021-06-14,105.84
2021-06-14,105.79
2021-06-14,109.9
2021-06-14,108.9
2021-06-14,109.9
2021-06-15,108.9
2021-06-15,109.9
2021-06-16,108.9
2021-06-16,109.9
2021-06-17,108.9
2021-06-17,109.9
2021-06-18,108.9
2021-06-18,109.9
2021-06-19,108.9
